horizon_day,pair,source_share,target_share,absolute_difference
14,AAA-J,0.030639284531301755,0.03211009174311927,0.0014708072118175125
14,BBB-B,0.13299105664127195,0.11825688073394496,0.014734175907326993
14,BBB-J,0.1532792315336204,0.1643119266055046,0.011032695071884174
14,DDD-B,0.09912222590261677,0.0963302752293578,0.002791950673258964
14,DDD-J,0.13870486916197416,0.1356880733944954,0.0030167957674787638
14,EEE-J,0.0772606823451474,0.09422018348623853,0.01695950114109114
14,FFF-B,0.12586949320967208,0.12009174311926606,0.005777750090406028
14,FFF-J,0.16545213646902948,0.1730275229357798,0.007575386466750322
14,GGG-J,0.07668102020536602,0.06596330275229358,0.010717717453072442
56,AAA-J,0.031944687554699806,0.0326585179526356,0.0007138303979357941
56,BBB-B,0.12865394713810607,0.1190794499618029,0.009574497176303168
56,BBB-J,0.15622265009627165,0.16711229946524064,0.010889649368968995
56,DDD-B,0.09495886574479258,0.09272345301757066,0.0022354127272219138
56,DDD-J,0.13775599509889724,0.13531321619556913,0.0024427789033281133
56,EEE-J,0.07929284088920006,0.09520626432391138,0.01591342343471132
56,FFF-B,0.12314020654647295,0.12003437738731856,0.0031058291591543885
56,FFF-J,0.16760021004726064,0.17121848739495799,0.003618277347697346
56,GGG-J,0.08043059688429896,0.06665393430099313,0.01377666258330583
